No,name,address,lat,lng,入口 段差2cm以内,スロープあり,多目的トイレあり,エレベータ(障害者対応)あり,階段昇降機あり,点字・触図等の案内図あり,外国語対応,備考
1,Inn By The Sea Kamakura,長谷2-22-32,35.30976,139.53589,×,○,×,×,×,×,○,
2,対僊閣,長谷3-12-9,35.31257,139.534709,×,×,×,×,×,×,○,外国語（英）。
3,光則寺(日蓮宗),長谷3-9-7,35.313143,139.53221,×,×,×,×,×,×,○,お花情報。アプローチ狭い。
4,長谷寺（仏教系単立）,長谷3-11-2,35.312465,139.533002,○,○,○,×,×,×,○,個室手すりあり。外国語（英語）。
5,長谷駅,長谷2-14-10,35.311246,139.536218,×,〇,○,×,×,○,○,スロープきつい。外国語（英語）。
6,甘縄神明神社,長谷1-12-1,35.314647,139.537078,×,×,×,×,×,×,×,
7,鎌倉文学館,長谷1-5-3,35.315541,139.538838,△,△,×,×,×,×,〇,アプローチはスロープ。建物玄関は階段・職員が介助するとのこと。1Fは下の入り口から案内。外国語（英）。
8,高徳院（大仏）（浄土宗）,長谷4-2-28,35.316839,139.535719,－,○,○,－,－,×,〇,トイレはオストメイトはなし。身障者駐車スペースあり。外国語（英中韓）。
9,寸松堂,笹目町5-1,35.314076,139.543762,○,－,－,－,－,×,〇,外国語（英）。
10,六地蔵,由比ｶﾞ浜3丁目,35.315328,139.546471,○,－,－,－,－,○,〇,外国語（英）。
11,鎌倉体育館,由比ｶﾞ浜2-9-9,35.314123,139.548687,△,△,×,×,×,×,×,身障者用駐車スペースあり。駐車場からエントランスまではスロープ。門扉レールが2cm程度の出っ張り。エントランスは10cm以上の段差（靴を脱ぐため）。
12,和田塚駅,由比ヶ浜3-4-1,35.313698,139.545425,－,○,×,×,×,×,〇,外国語（英中韓）。
13,鶴岡八幡宮,雪ﾉ下2-1-31,35.32495,139.55621,○,○,○,×,×,×,○,トイレは場所によって段差あり。
14,鎌倉駅東口,小町1-1,35.31894,139.55061,○,○,○,○,○,○,○,
15,川喜多映画記念館,雪ﾉ下2丁目2?12,35.324236,139.552472,○,○,○,×,×,○,○,一階建て。インターフォンあり。AEDあり。
16,鏑木清方記念美術館,雪ﾉ下1丁目5-25,35.322992,139.552377,○,○,○,×,×,○,○,パンフレット6か国語。Wi-Fiあり。
17,延命寺（浄土宗）,材木座1-1-3,35.315299,139.550594,〇,×,×,×,×,×,×,
18,常栄寺（日蓮宗）,大町1-12-11,35.315093,139.554649,×,×,×,×,×,×,〇,
19,上行寺（日蓮宗）,大町2-8-17,35.313871,139.554736,〇,〇,×,×,×,×,×,
20,大巧寺（仏教系単位）,小町1-9-28,35.318506,139.55277,×,×,×,×,×,×,〇,
21,由比若宮（元八幡）,材木座1-7,35.312756,139.552661,×,×,×,×,×,×,×,
22,本覚寺,小町1-12-12,35.31726,139.55258,×,×,×,×,×,×,〇,
23,妙本寺,大町1-15-1,35.317171,139.557608,〇,〇,×,×,×,×,〇,トイレアプローチなし。他のアプローチは整備済み。
24,鎌倉生涯学習センター,小町1丁目10-5,35.318293,139.552278,〇,〇,〇,〇,×,×,〇,
25,見田記念体育館,由比ｶﾞ浜2-13-21,35.312593,139.549637,〇,〇,〇,×,×,×,×,平屋建て。館内誘導ブロックあり。
